RANK,JANUARY,,FEBRUARY,,MARCH,,APRIL,,MAY,,JUNE,,JULY,,AUGUST,,SEPTEMBER,,OCTOBER,,NOVEMBER,,DECEMBER,
,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE
,I21,14,I21,26,I21,19,I22,27,I21,34,U07.1,53,I22,21,I22,9,U07.1,24,U07.1,70,U07.1,71,U07.1,20
,I63.9,6,J96.0,15,J18.9,16,I46.9,7,U07.1,19,I11.9,14,J96.0,21,U07.1,9,I21,16,J18.9,21,I22,17,I21,9
,J96.0,6,I46.9,10,I22,16,I21,4,I22,13,E11,14,U07.1,16,I21,9,A15.0,11,I10,11,J18.9,13,I10,6
,N,4,I22,9,I10,13,J96.0,4,I10,12,I22,14,I21,13,R57.2,7,J18.9,10,I22,9,I10,10,J18.9,6
,I10,4,J18.9,7,I46.9,12,J18.9,4,N18.9,8,J18.9,12,I46.9,11,J96.0,7,I10,10,N18.9,8,I11.9,10,I11.9,6
,J18.9,3,R57.2,6,J96.0,12,A41.9,3,I63.9,7,I10,12,R57.0,9,I46.9,5,I11.9,8,E11.9,6,A15.0,6,I22,5
,I11.9,2,J46,5,V89.2,5,I63.9,3,J96.0,6,I21,9,R57.2,8,J44.9,4,I22,7,I11.9,6,I21,5,E11.8,5
,A15.0,2,G93.5,5,A41.9,5,I49.9,3,J80,5,I61.9,5,A41.9,6,I63.9,3,J46,6,E11,5,E11.9,5,E11,4
,C34.9,2,I10,4,I63.9,5,D65,2,R57.2,5,J80,5,J80,6,R57.0,3,I50.0,6,N18.5,3,N18.9,4,N18.9,3
,I61.9,2,I63.9,4,R57.0,5,J96.9,2,J18.9,4,J96.0,5,I63.9,6,N18.9,3,E11,5,I21,3,E11,4,D64.9,3
,J69.0,1,I50.0,4,E11,4,E11.9,2,J44.9,4,A15.0,4,G93.5,5,J18.9,3,N18.9,5,V89.2,3,V89.2,3,A15.0,3
,T75.1,1,N18.9,4,T71,3,J46,2,A15.0,4,N18.9,4,I11.9,5,I10,3,J96.0,4,I49.9,3,I63.9,3,J46,3
,X99,1,J96.9,4,I16.1,3,I61.9,2,P95,4,K74.6,4,T71,3,I49.9,2,N18.5,4,I46.9,3,T71,3,E11.9,2
,V89.2,1,I61.9,3,R57.2,3,C50.9,2,I11.9,4,J46,3,J18.9,3,A41.9,2,V89.2,4,P95,2,T75.1,3,T75.4,2
